frame;label;landmark_0_x;landmark_0_y;landmark_0_z;landmark_1_x;landmark_1_y;landmark_1_z;landmark_2_x;landmark_2_y;landmark_2_z;landmark_3_x;landmark_3_y;landmark_3_z;landmark_4_x;landmark_4_y;landmark_4_z;landmark_5_x;landmark_5_y;landmark_5_z;landmark_6_x;landmark_6_y;landmark_6_z;landmark_7_x;landmark_7_y;landmark_7_z;landmark_8_x;landmark_8_y;landmark_8_z;landmark_9_x;landmark_9_y;landmark_9_z;landmark_10_x;landmark_10_y;landmark_10_z;landmark_11_x;landmark_11_y;landmark_11_z;landmark_12_x;landmark_12_y;landmark_12_z;landmark_13_x;landmark_13_y;landmark_13_z;landmark_14_x;landmark_14_y;landmark_14_z;landmark_15_x;landmark_15_y;landmark_15_z;landmark_16_x;landmark_16_y;landmark_16_z;landmark_17_x;landmark_17_y;landmark_17_z;landmark_18_x;landmark_18_y;landmark_18_z;landmark_19_x;landmark_19_y;landmark_19_z;landmark_20_x;landmark_20_y;landmark_20_z;landmark_21_x;landmark_21_y;landmark_21_z;landmark_22_x;landmark_22_y;landmark_22_z;landmark_23_x;landmark_23_y;landmark_23_z;landmark_24_x;landmark_24_y;landmark_24_z;landmark_25_x;landmark_25_y;landmark_25_z;landmark_26_x;landmark_26_y;landmark_26_z;landmark_27_x;landmark_27_y;landmark_27_z;landmark_28_x;landmark_28_y;landmark_28_z;landmark_29_x;landmark_29_y;landmark_29_z;landmark_30_x;landmark_30_y;landmark_30_z;landmark_31_x;landmark_31_y;landmark_31_z;landmark_32_x;landmark_32_y;landmark_32_z
1;sentarse;0.496512711;0.391797066;-0.228674933;0.497692585;0.387752742;-0.222846806;0.498449713;0.388126433;-0.222852573;0.49920097;0.388566732;-0.222926289;0.494664609;0.386420965;-0.224896401;0.49301514;0.386106491;-0.224917412;0.491228849;0.386072278;-0.22490789;0.499987781;0.391296953;-0.177809775;0.48829025;0.389445037;-0.18593283;0.497817427;0.399168044;-0.210621268;0.493278444;0.398104846;-0.213210315;0.507945299;0.425139815;-0.106521286;0.481832355;0.42194736;-0.154102042;0.510501564;0.465631336;-0.05908994;0.479106009;0.464254647;-0.132423788;0.512177885;0.501723826;-0.038806245;0.473100632;0.499400288;-0.119183294;0.513120174;0.510995507;-0.037079606;0.470907599;0.51015836;-0.128541395;0.511059463;0.511442006;-0.049973242;0.473641038;0.510592103;-0.134120926;0.510046065;0.508911967;-0.042546313;0.475455463;0.507451773;-0.120945603;0.492157161;0.45608604;0.014509527;0.475284874;0.453806669;-0.014367701;0.505507529;0.507784069;-0.026031034;0.483629495;0.51097095;-0.067397818;0.505845785;0.573475718;0.009474797;0.486805826;0.573509037;-0.036579598;0.503376663;0.581154585;0.012102181;0.486108184;0.583032846;-0.033982679;0.511950433;0.588695526;-0.015747555;0.490279794;0.591626465;-0.065949686
2;sentarse;0.49639684;0.391697288;-0.200977936;0.497610241;0.387339979;-0.193792671;0.498411089;0.387566179;-0.193820223;0.499194294;0.387848735;-0.193880722;0.494537205;0.386331171;-0.196023434;0.492957711;0.386055261;-0.19605948;0.491228908;0.385954648;-0.196067408;0.499992579;0.390808344;-0.147183329;0.488388002;0.389254153;-0.155964851;0.497818321;0.399130672;-0.1832017;0.493274599;0.398093998;-0.185904786;0.507917821;0.424025834;-0.085762657;0.481860459;0.42052567;-0.133978829;0.511516333;0.464852393;-0.064297684;0.477692217;0.459659547;-0.126758009;0.513177574;0.500287592;-0.089403868;0.472391337;0.498795927;-0.12724112;0.514117002;0.509896755;-0.096488424;0.470148832;0.509939075;-0.139325425;0.512093127;0.510817528;-0.108708784;0.472895145;0.51058799;-0.143766612;0.510824919;0.508088708;-0.094746329;0.474245071;0.507497191;-0.129109234;0.488413453;0.471592873;0.016772939;0.47170192;0.470265239;-0.016672533;0.505662978;0.510982454;-0.061933205;0.483648688;0.516054153;-0.106167004;0.505855024;0.573606431;-0.009217333;0.485986531;0.575290978;-0.056909848;0.503266752;0.582696855;-0.005364818;0.486080736;0.58374387;-0.052925687;0.511741161;0.589572012;-0.041306086;0.48974058;0.592514157;-0.092338346
3;sentarse;0.496018767;0.390956759;-0.172315091;0.497259557;0.386116832;-0.166022822;0.49813807;0.386187941;-0.166052714;0.498977035;0.386375755;-0.166107371;0.494100869;0.386031359;-0.166191965;0.49265641;0.385986596;-0.166214451;0.491097808;0.385954916;-0.166220739;0.499990135;0.389651418;-0.123867273;0.488613546;0.389255345;-0.122486278;0.497738212;0.397640705;-0.156207755;0.493269116;0.397401989;-0.155922189;0.508833945;0.423189789;-0.071228623;0.481948793;0.418940306;-0.099419907;0.512093484;0.463973492;-0.063108765;0.477191031;0.457848638;-0.095110215;0.513822794;0.499301612;-0.093973495;0.471716106;0.498195797;-0.116695441;0.514870405;0.509499729;-0.103392281;0.469041765;0.509606838;-0.129584029;0.512821913;0.510420561;-0.113889106;0.471706748;0.510504961;-0.136118144;0.511625886;0.507438302;-0.098865412;0.47306782;0.507447779;-0.119917579;0.489030898;0.479883939;0.012927855;0.472532392;0.475684106;-0.012880118;0.505648375;0.514767706;-0.080076821;0.483603626;0.520277083;-0.101206288;0.505636811;0.573708117;-0.027581455;0.485221505;0.577113032;-0.051900316;0.503691733;0.582111597;-0.024102628;0.486074537;0.584624887;-0.048224982;0.510231137;0.589806855;-0.066917017;0.487988174;0.594700396;-0.090788685
4;sentarse;0.495834529;0.389213949;-0.132568896;0.497102618;0.384293288;-0.126538694;0.498055875;0.384327441;-0.126564533;0.498965412;0.384433508;-0.126611292;0.493800193;0.385119289;-0.126086101;0.492444605;0.385389119;-0.126102224;0.491009682;0.385602981;-0.126102462;0.500167549;0.388054162;-0.089859493;0.488912672;0.388732344;-0.085781388;0.497734249;0.395920902;-0.118873067;0.493268847;0.395577818;-0.117771886;0.509508252;0.4220213;-0.052807078;0.481716156;0.418210477;-0.069815584;0.513387918;0.462643027;-0.048959866;0.476686656;0.457598597;-0.072222546;0.514214456;0.498697758;-0.078183487;0.471864283;0.497774094;-0.096638516;0.515215814;0.509239078;-0.086911052;0.469271004;0.50918895;-0.107948646;0.513474643;0.509943604;-0.096108884;0.471764594;0.510086775;-0.114094868;0.512396276;0.506755948;-0.082534872;0.473254293;0.507008255;-0.09989658;0.491484791;0.484852761;0.008267595;0.475399047;0.480432808;-0.008236272;0.504614532;0.517068565;-0.090046979;0.48388344;0.518680692;-0.108195327;0.505638063;0.574475527;-0.035781201;0.485272974;0.577537656;-0.056594398;0.503692567;0.582662761;-0.032235134;0.486169368;0.584585905;-0.052476462;0.510114372;0.58937645;-0.074377723;0.488209426;0.594773471;-0.095093891
5;sentarse;0.495807558;0.388118476;-0.100939937;0.497032642;0.383357882;-0.095320828;0.498029441;0.383323371;-0.095341355;0.498965859;0.383351624;-0.095381998;0.49365297;0.384028256;-0.094575487;0.492281526;0.384448439;-0.094593376;0.490922421;0.38495478;-0.094585255;0.500241578;0.386589706;-0.061599083;0.488911748;0.388734668;-0.056782253;0.497786254;0.394280881;-0.0883018;0.49335897;0.395095766;-0.08700078;0.510274351;0.421125144;-0.031153433;0.481648594;0.417934418;-0.038993079;0.513646722;0.461580336;-0.024056161;0.476349264;0.457522988;-0.033062067;0.514529824;0.49823755;-0.046963748;0.471943766;0.497084439;-0.053862307;0.515521944;0.508985698;-0.055476505;0.469302058;0.508865774;-0.062321112;0.514003813;0.509295762;-0.063757159;0.471825927;0.509946346;-0.070234917;0.512986243;0.5061813;-0.050993189;0.473286152;0.50653553;-0.057520974;0.496655375;0.483416855;0.002783792;0.479575068;0.482205093;-0.002743205;0.504174292;0.516176224;-0.112391219;0.484241009;0.512446582;-0.118389711;0.50355643;0.574576318;-0.068443164;0.4858042;0.578546345;-0.077806324;0.503005683;0.582506478;-0.065376863;0.487015873;0.584659696;-0.074366488;0.506574333;0.589372396;-0.108041696;0.488177478;0.594889462;-0.116433151
6;sentarse;0.495813578;0.387736648;-0.075301565;0.497056752;0.382911593;-0.069461875;0.498077899;0.382794529;-0.069481783;0.499020725;0.382672399;-0.069509245;0.493667424;0.383676797;-0.069105692;0.492303938;0.383937567;-0.069124341;0.490928501;0.384245574;-0.06912113;0.500550568;0.386019349;-0.036644202;0.489038885;0.387833148;-0.034146242;0.497867495;0.393588573;-0.063141085;0.493632734;0.394368798;-0.062503673;0.510650814;0.420328677;-0.012730916;0.481214434;0.417954117;-0.018281557;0.513545215;0.460976601;-0.00962377;0.476209164;0.457698047;-0.014814993;0.514435053;0.498283327;-0.032793079;0.471963972;0.497069687;-0.037744213;0.515509486;0.509013534;-0.04065394;0.469389409;0.50875771;-0.045597266;0.514035046;0.509063661;-0.04890734;0.471795022;0.509795606;-0.053487401;0.51290834;0.505844653;-0.0367027;0.473171055;0.505987585;-0.04124067;0.499227881;0.483401895;0.000835658;0.482081234;0.483658016;-0.000777617;0.50423187;0.515404403;-0.114349172;0.484788716;0.509039462;-0.114238389;0.503445983;0.574613869;-0.085067943;0.48598057;0.57822907;-0.088298127;0.502703965;0.582542062;-0.08351095;0.487095445;0.584635139;-0.086606123;0.50529027;0.589186609;-0.12607418;0.486718297;0.594789267;-0.129933
7;sentarse;0.495784372;0.386775851;-0.073205188;0.497072667;0.382043958;-0.067517594;0.498137981;0.3819305;-0.067528673;0.499157518;0.381885499;-0.067555837;0.493679851;0.382910162;-0.067552701;0.492396384;0.383194566;-0.067573324;0.491045773;0.383511454;-0.067567483;0.500808358;0.385503262;-0.035679627;0.489194959;0.386931002;-0.035222363;0.497869819;0.392776281;-0.061345812;0.493628651;0.393113732;-0.061308619;0.510626853;0.419095278;-0.015875628;0.480903208;0.418088794;-0.016986508;0.513428271;0.460660607;-0.011019692;0.476303041;0.457948774;-0.010426281;0.514758825;0.498064727;-0.033992436;0.471976161;0.497275561;-0.030902503;0.515945256;0.508834124;-0.041608285;0.469476998;0.508729279;-0.037934389;0.514391005;0.508694291;-0.050329268;0.471842438;0.50979799;-0.045989659;0.513256669;0.505301774;-0.037911836;0.473291188;0.506008804;-0.034347497;0.501144588;0.484048337;-0.000528761;0.483700871;0.484914213;0.00057277;0.504219353;0.515232205;-0.119393669;0.485593468;0.509798646;-0.106218547;0.503635526;0.574592054;-0.080301881;0.486252517;0.578127801;-0.071906827;0.502996325;0.581981719;-0.077953972;0.487286925;0.583581269;-0.06964542;0.503883779;0.589704573;-0.122304067;0.485961467;0.594710052;-0.113546625
8;sentarse;0.495776236;0.386547863;-0.075875506;0.497150064;0.382099986;-0.070187278;0.498290092;0.382132918;-0.070193641;0.499328136;0.382210046;-0.070213549;0.493691713;0.382481366;-0.07005889;0.492486179;0.382810056;-0.070082679;0.491192162;0.383158475;-0.070080377;0.500965476;0.385739744;-0.038410895;0.489292204;0.386802942;-0.037634455;0.497874081;0.392860949;-0.064127974;0.493562758;0.392473757;-0.063992396;0.510590434;0.418659598;-0.019411003;0.480885983;0.418158144;-0.018075714;0.513395488;0.460046321;-0.013838463;0.476387471;0.458237022;-0.009522286;0.51537925;0.498060256;-0.038034048;0.472012401;0.497306198;-0.030495726;0.516996801;0.508847713;-0.045671895;0.469865948;0.508376896;-0.037568118;0.51535964;0.508648872;-0.054420989;0.471901029;0.509469151;-0.046302829;0.514232099;0.505267203;-0.041968029;0.473368108;0.505872488;-0.034276556;0.502621949;0.485608071;-0.000666412;0.485090584;0.485981286;0.000695977;0.503836691;0.515029371;-0.118783563;0.485459387;0.510213256;-0.107026964;0.503800452;0.574379146;-0.074216582;0.486601681;0.578378379;-0.068831995;0.503329813;0.581732452;-0.071508937;0.487565666;0.584033251;-0.066446774;0.504235566;0.589861393;-0.118156873;0.486156076;0.59486562;-0.112641007
9;sentarse;0.495613426;0.386481792;-0.070653565;0.497141451;0.382092088;-0.064351819;0.498297602;0.382164419;-0.064358979;0.499333769;0.382279366;-0.064377949;0.493604004;0.382297724;-0.064253494;0.49236533;0.382587701;-0.064276062;0.491194218;0.382916152;-0.064274602;0.500995755;0.385902375;-0.031469859;0.489331096;0.386640817;-0.031137608;0.497814924;0.392845303;-0.058642987;0.493363768;0.392308235;-0.058626678;0.510497689;0.418471307;-0.01229495;0.480907172;0.418223232;-0.011768041;0.513327837;0.459404796;-0.008167029;0.476359218;0.458485395;-0.004988229;0.515608847;0.49790135;-0.032320093;0.472028673;0.497377753;-0.025697215;0.517402589;0.508695364;-0.039932646;0.469918519;0.508378029;-0.032792751;0.515844941;0.508590758;-0.048568044;0.471893936;0.509456336;-0.041616626;0.514739096;0.505213678;-0.036356881;0.473185897;0.505891025;-0.029541425;0.503329635;0.486528248;-0.000302789;0.485736161;0.486387968;0.000353108;0.504301071;0.514957488;-0.114965416;0.485413134;0.509303093;-0.109159842;0.503713191;0.574788213;-0.084753647;0.486592084;0.578049421;-0.081004545;0.502639472;0.582388878;-0.083922386;0.487519562;0.584031761;-0.080073662;0.504324853;0.590873182;-0.132792383;0.485680908;0.594819248;-0.129628047
10;sentarse;0.495420128;0.386665702;-0.07403031;0.497137249;0.382270068;-0.068090178;0.498296678;0.382349879;-0.068095118;0.499327749;0.382476151;-0.068113655;0.493497461;0.382426471;-0.067848355;0.492268652;0.382689238;-0.0678747;0.491132766;0.383002937;-0.067876235;0.501030207;0.386049271;-0.036006007;0.489415467;0.386692196;-0.035182688;0.497745961;0.39303875;-0.062264588;0.49320963;0.39254123;-0.062092256;0.510505974;0.418576896;-0.016295077;0.480962366;0.418530703;-0.016616436;0.513387978;0.459446877;-0.012011116;0.47639972;0.458738834;-0.010009057;0.516093135;0.497912318;-0.035696398;0.47227034;0.497762203;-0.031436823;0.517921031;0.508644938;-0.043360841;0.470171928;0.508812487;-0.038723849;0.516543508;0.508594275;-0.05160651;0.47194159;0.509800017;-0.047342431;0.515476763;0.505274534;-0.039551508;0.473239541;0.506579757;-0.035183437;0.503641546;0.486813873;0.000492419;0.485872895;0.486556381;-0.000449674;0.50442636;0.515451908;-0.113040544;0.485340118;0.509291828;-0.11133112;0.503767848;0.572687745;-0.069058642;0.486690164;0.576017678;-0.074072033;0.502646625;0.579596579;-0.066534571;0.487596631;0.582352817;-0.07194858;0.504903734;0.590789735;-0.111836649;0.48596096;0.594487131;-0.119657844
